CustomerID,CustomerName,Gender,Age,Email,Country,Region,JoinDate,PurchaseAmount,Rating,Phone
CUST1394,Riya Kapoor,Female,22,riya.kapoor@example.com,India,North,2021-09-14,105.91,2,+91-8038438114
CUST1305,Riya Joshi,Female,25,riya.joshi@example.com,Germany,West,2021-12-27,169.87,4,+91-7264064129
CUST1162,Aditya Sharma,Female,62,aditya.sharma@example.com,Germany,South,2021-06-23,133.55,4,+91-8252738994
CUST1101,Sneha Iyer,Unknown,25,sneha.iyer@example.com,India,South,2023-12-10,37.43,5,+91-7081335390
CUST1360,Aditya Nair,Female,52,aditya.nair@example.com,United States,West,2023-10-20,288.75,3,+91-8737072018
CUST1456,Ananya Nair,Male,32,ananya.nair@example.com,India,North,2024-05-31,136.08,1,+91-7532817175
CUST1132,Kabir Gupta,Unknown,62,kabir.gupta@example.com,Uk,West,2022-11-12,208.11,2,+91-8377246344
CUST1003,Diya Nair,Female,57,diya.nair@example.com,United States,South,2023-12-30,85.16,2,+91-7240251661
CUST1316,Rahul Rao,Unknown,51,rahul.rao@example.com,United States,South,2022-12-26,400.87,1,+91-8980446323
CUST1118,Yash Rao,Male,47,yash.rao@example.com,India,South,2022-09-08,122.27,5,+91-8095197958
CUST1065,Meera Kapoor,Male,29,meera.kapoor@example.com,India,North,2022-12-19,279.41,5,+91-9635277155
CUST1499,Kavya Mehta,Male,23,kavya.mehta@example.com,United States,North,2022-01-18,252.21,2,+91-7442660341
CUST1479,Vivaan Pillai,Male,37,vivaan.pillai@example.com,India,South,2022-03-06,445.68,2,+91-9918195168
CUST1357,Aarav Bose,Female,42,aarav.bose@example.com,India,North,2022-01-15,174.66,2,+91-8349823507
CUST1246,Yash Chowdhury,Female,42,yash.chowdhury@example.com,United States,East,2024-06-08,146.25,3,+91-8799990470
CUST1051,Karan Das,Male,40,karan.das@example.com,United States,West,2024-04-09,211.52,4,+91-7678500147
CUST1388,Rohan Sharma,Unknown,57,rohan.sharma@example.com,United States,North,2024-08-11,163.54,3,+91-8713336599
CUST1384,Ananya Iyer,Female,28,ananya.iyer@example.com,Australia,West,2022-08-03,142.32,2,+91-7649677141
CUST1115,Rahul Das,Male,47,rahul.das@example.com,India,East,2022-01-22,135.55,1,+91-9550970716
CUST1138,Yash Verma,Male,37,yash.verma@example.com,Uk,South,2022-05-15,114.02,4,+91-9823115971
CUST1244,Kabir Gupta,Female,22,kabir.gupta@example.com,Uk,North,2021-06-10,93.93,4,+91-9467541927
CUST1280,Rahul Chowdhury,Male,40,rahul.chowdhury@example.com,Canada,East,2023-12-09,116.2,2,+91-7508469555
CUST1089,Neha Rao,Female,20,neha.rao@example.com,Uk,West,2024-02-25,66.35,4,+91-7318051098
CUST1468,Aditya Nair,Male,54,aditya.nair@example.com,United States,South,2022-06-29,347.33,1,+91-8141756063
CUST1328,Aditya Bose,Unknown,24,aditya.bose@example.com,India,South,2021-10-21,306.63,5,+91-7378048132
CUST1031,Isha Reddy,Female,31,isha.reddy@example.com,Canada,East,2023-01-26,279.84,3,
CUST1216,Aditya Menon,Female,54,aditya.menon@example.com,United States,North,2024-01-05,180.77,2,+91-9039496086
CUST1378,Sai Das,Male,41,sai.das@example.com,United States,South,2021-09-24,110.34,3,+91-8406947246
CUST1270,Ananya Verma,Male,60,ananya.verma@example.com,United States,East,2022-09-08,306.0,4,+91-9961788388
CUST1023,Isha Kapoor,Male,24,isha.kapoor@example.com,Canada,North,2024-05-27,125.16,2,+91-9213849513
CUST1327,Aditya Verma,Male,51,aditya.verma@example.com,United States,South,2024-04-06,86.4,4,
CUST1377,Yash Rao,Female,22,yash.rao@example.com,Germany,South,2024-01-27,343.44,4,+91-8720829540
CUST1188,Aarav Gupta,Male,54,aarav.gupta@example.com,Australia,West,2022-12-16,445.68,2,+91-8607304606
CUST1013,Divya Bose,Female,37,divya.bose@example.com,United States,North,2022-10-05,271.94,5,+91-9555656321
CUST1097,Meera Mehta,Male,32,meera.mehta@example.com,Canada,East,2021-04-10,147.81,1,+91-8135902437
CUST1165,Divya Iyer,Male,31,divya.iyer@example.com,India,North,2022-05-27,165.21,2,+91-8598757527
CUST1032,Meera Kapoor,Unknown,22,meera.kapoor@example.com,Canada,South,2024-07-08,355.8,1,+91-8591589823
CUST1220,Aman Rao,Male,62,aman.rao@example.com,India,North,2021-05-10,262.86,3,+91-7371537098
CUST1389,Aditya Sharma,Female,44,aditya.sharma@example.com,Uk,West,2023-06-05,203.56,3,+91-8666831822
CUST1322,Pooja Gupta,Male,28,pooja.gupta@example.com,United States,East,2022-11-14,170.08,3,+91-8245363002
CUST1483,Pooja Pillai,Male,19,pooja.pillai@example.com,United States,South,2021-09-12,130.51,2,+91-7528475568
CUST1202,Yash Bose,Male,36,yash.bose@example.com,United States,North,2024-10-21,214.64,2,+91-9096471391
CUST1055,Vikram Chowdhury,Male,51,vikram.chowdhury@example.com,India,East,2022-11-25,224.66,2,+91-9393639475
CUST1268,Rahul Joshi,Female,64,rahul.joshi@example.com,Germany,South,2023-06-01,342.42,2,+91-8921996951
CUST1050,Divya Joshi,Male,19,divya.joshi@example.com,United States,South,2021-07-25,209.13,3,+91-8769748771
CUST1321,Nikhil Mehta,Male,39,nikhil.mehta@example.com,India,East,2021-11-07,64.05,4,+91-7301075867
CUST1025,Arjun Mehta,Male,50,,United States,South,2021-12-27,263.7,2,+91-9400565848
CUST1453,Neha Joshi,Female,39,,India,South,2024-10-24,150.72,2,+91-7462498524
CUST1326,Aditya Pillai,Female,40,aditya.pillai@example.com,United States,West,2022-11-22,87.1,2,+91-8440977557
CUST1077,Ananya Reddy,Female,63,ananya.reddy@example.com,United States,North,2021-03-19,192.99,5,+91-8879792991
CUST1450,Rahul Reddy,Male,62,,India,South,2023-03-29,50.77,2,+91-7293076437
CUST1390,Sneha Iyer,Female,33,sneha.iyer@example.com,Germany,West,2024-07-15,231.0,2,+91-9703937817
CUST1446,Aditya Mehta,Male,42,aditya.mehta@example.com,India,North,2021-09-22,326.9,2,+91-9855262673
CUST1476,Priya Rao,Male,46,priya.rao@example.com,Australia,West,2024-10-24,278.71,1,+91-9957514493
CUST1273,Rohan Verma,Female,43,rohan.verma@example.com,United States,West,2021-09-25,107.74,5,+91-8040735415
CUST1146,Ishaan Reddy,Female,56,ishaan.reddy@example.com,India,South,2022-07-05,193.95,5,+91-8585148616
