CustomerID,CustomerName,Gender,Age,Email,Country,Region,JoinDate,PurchaseAmount,Rating,Phone
CUST1394,Riya Kapoor,FEMALE,22.0,riya.kapoor@example.com,India ,North,14/09/2021,105.91,2.0,+91-8038438114
CUST1305,Riya Joshi,f,25.0,riya.joshi@example.com,Germany,West,27-Dec-2021,169.87,4.0,+91-7264064129
CUST1162,Aditya Sharma,F,62.0,aditya.sharma@example.com,Germany,SOUTH,2021/06/23,133.55,4.0,+91-8252738994
CUST1101,Sneha Iyer,,25.0,sneha.iyer@example.com,India,South,2023/12/10,37.43,5.0,+91-7081335390
CUST1360,Aditya Nair,F,52.0,aditya.nair@example.com,USA,West,2023/10/20,288.75,3.0,+91-8737072018
CUST1456,Ananya Nair,M,32.0,ananya.nair@example.com,india,North,31-May-2024,136.08,1.0,+91-7532817175
CUST1132,Kabir Gupta,,62.0,kabir.gupta@example.com,UK,West,12-Nov-2022,208.11,,+91-8377246344
CUST1003,Diya Nair,female,57.0,diya.nair@example.com,USA,South,30/12/2023,85.16,2.0,+91-7240251661
CUST1316,Rahul Rao,,51.0,rahul.rao@example.com,USA,SOUTH,26-Dec-2022,400.87,1.0,+91-8980446323
CUST1118,Yash Rao,MALE,47.0,yash.rao@example.com,india,South,08/09/2022,122.27,5.0,+91-8095197958
CUST1065,  meera kapoor  ,male,29.0,meera.kapoor@example.com,india,North,12-19-2022,279.41,5.0,+91-9635277155
CUST1499,Kavya Mehta,male,23.0,kavya.mehta@example.com,United States,north,2022-01-18,252.21,2.0,+91-7442660341
CUST1479,Vivaan Pillai,male,37.0,vivaan.pillai@example.com,india,South,06/03/2022,13355.75,2.0,+91-9918195168
CUST1357,Aarav Bose,Female,42.0,aarav.bose@example.com,india,north,2022-01-15,174.66,2.0,+91-8349823507
CUST1246,Yash Chowdhury,FEMALE,999.0,yash.chowdhury@example.com,United States,East,08/06/2024,146.25,3.0,+91-8799990470
CUST1051,Karan Das,M,40.0,karan.das@example.com,United States,West,09-Apr-2024,211.52,4.0,+91-7678500147
CUST1388,  rohan sharma  ,,57.0,rohan.sharma@example.com,United States,North,2024-08-11,163.54,3.0,+91-8713336599
CUST1384,Ananya Iyer,Female,28.0,ananya.iyer@example.com,Australia,West,08-03-2022,142.32,2.0,+91-7649677141
CUST1115,Rahul Das,m,47.0,rahul.das@example.com,india,East,2022-01-22,135.55,1.0,+91-9550970716
CUST1138,Yash Verma,Male,37.0,yash.verma@example.com,UK,SOUTH,2022/05/15,114.02,4.0,+91-9823115971
